Ano;Fiaxa Etária;Região de saúde;Magreza acentuada;,Magreza;Eutrofia;Risco de sobrepeso;Sobrepeso;Obesidade
2019;0-5 anos;1ª ADS FORTALEZA;2,42%;2,34%;52,85%;21,57%;11,40%;9,42%
2019;0-5 anos;2ª ADS CAUCAIA;3,02%;3,23%;53,54%;18,64%;11,10%;10,47%
2019;0-5 anos;3ª ADS MARACANAÚ;3,20%;3,12%;51,61%;19,04%;11,18%;11,86%
2019;0-5 anos;4ª ADS BATURITÉ;3,26%;3,24%;50,54%;20,13%;11,65%;11,18%
2019;0-5 anos;6ª ADS ITAPIPOCA;3,27%;3,16%;55,87%;18,36%;10,36%;8,98%
2019;0-5 anos;22ª ADS CASCAVEL;2,90%;2,61%;53,17%;17,95%;11,33%;12,04%
2019;0-5 anos;5ª ADS CANINDÉ;4,10%;3,28%;50,38%;19,06%;11,19%;11,99%
2019;0-5 anos;8ª ADS QUIXADÁ;4,13%;3,57%;50,40%;18,20%;11,06%;12,64%
2019;0-5 anos;14ª ADS TAUÁ;3,71%;3,12%;51,42%;18,20%;10,66%;12,89%
2019;0-5 anos;11ª ADS SOBRAL;3,84%;3,56%;52,05%;19,33%;11,00%;10,22%
2019;0-5 anos;12ª ADS ACARAÚ;3,16%;2,70%;56,25%;19,27%;10,16%;8,46%
2019;0-5 anos;13ª ADS TIANGUÁ;3,09%;3,27%;57,76%;18,46%;9,33%;8,08%
2019;0-5 anos;15ª ADS CRATEÚS;3,88%;3,08%;51,99%;19,55%;10,75%;10,76%
2019;0-5 anos;16ª ADS CAMOCIM;3,18%;3,15%;49,65%;18,86%;10,78%;14,38%
2019;0-5 anos;7ª ADS ARACATI;4,02%;2,90%;51,64%;19,40%;11,00%;11,05%
2019;0-5 anos;9ª ADS RUSSAS;3,17%;3,27%;54,07%;18,94%;11,14%;9,41%
2019;0-5 anos;10ª ADS LIMOEIRO DO NORTE;3,11%;2,84%;54,30%;20,04%;10,82%;8,89%
